,jobTitle,companyName,meanPay,payRange
237,Data Analyst,Hirsch,"$38,348",$37K - $40K
238,Data Analyst - Hourly Contractor,Vertex (Pennsylvania),$75,$71 - $78
239,Data Analyst,SmartStream Technologies,"$55,548",$54K - $57K
240,Data Analyst,Aditi Consulting,"$70,177",$67K - $73K
241,Data Analyst,West Fargo School District,"$50,439",$49K - $53K
242,Data Analyst - Hourly Contractor,Innovative Staffing Solutions,$16,$16 - $17
243,Data Analyst - Hourly Intern,Verint Systems,$14,$13 - $14
244,Data Analyst - Monthly Intern,Priceline.com,"$4,261",$4K - $4K
245,Data Analyst - Hourly,Chartwells Higher Education Dining Services,$16,$16 - $17
246,Data Analyst - Hourly,Hay Group,$18,$17 - $18
247,Data Analyst - Hourly Contractor,CoBird,$79,$76 - $82
248,Data Analyst - Hourly,The Home Depot,$37,$35 - $38
249,Data Analyst,M&JG Enterprise,"$84,479",$80K - $88K
250,Data Analyst,KDDI,"$44,110",$43K - $46K
251,Data Analyst,CarsDirect.com,"$61,969",$60K - $64K
252,Data Analyst - Hourly,AbbVie,$34,$32 - $36
253,Data Analyst - Hourly Contractor,Leadership Research Institute,$22,$21 - $22
254,Data Analyst,MedStar Health,"$59,750",$57K - $62K
255,Data Analyst,Business MarketScope,"$20,400",$19K - $21K
256,Data Analyst - Intern,Intuitive Surgical,"$69,121",$67K - $72K
257,Data Analyst,Columbia Insurance Group,"$68,529",$65K - $71K
258,Data Analyst,A Place for Mom,"$61,093",$58K - $64K
259,Data Analyst - Hourly Intern,CareFusion,$21,$20 - $22
260,Data Analyst,Apollo Education Group,"$96,958",$94K - $102K
261,Data Analyst - Hourly,Yardi Systems,$20,$19 - $20
262,Data Analyst,Yale University,"$60,915",$59K - $64K
263,Data Analyst,BJ's Wholesale Club,"$70,973",$68K - $74K
264,Data Analyst,Software Engineering Institute,"$83,447",$81K - $86K
265,Data Analyst - Hourly Contractor,Mercedes-Benz USA,$27,$26 - $28
266,Data Analyst,Waystar,"$50,211",$48K - $52K
267,Data Analyst - Hourly Intern,Allstate,$23,$22 - $23
268,Data Analyst,MassMutual,"$50,117",$48K - $52K
269,Data Analyst - Hourly,Maricopa Integrated Health System,$39,$38 - $41
270,Data Analyst,Lincoln Park Strategies,"$33,622",$32K - $35K
271,Data Analyst - Hourly,San Manuel Casino,$27,$26 - $28
272,Data Analyst - Hourly Intern,Jio,$25,$24 - $27
273,Data Analyst,Healthgram,"$28,299",$27K - $29K
274,Data Analyst,Golden Rule,"$50,072",$48K - $52K
275,Data Analyst,RiseSmart,"$82,864",$79K - $86K
276,Data Analyst - Hourly,Tax Management Associates,$15,$14 - $15
277,Data Analyst,Affiliated Computer Services,"$59,515",$58K - $62K
278,Data Analyst - Hourly Intern,CarMax,$26,$25 - $27
279,Data Analyst - Contractor,Global Technical Talent,"$80,057",$77K - $83K
280,Data Analyst,DaVita,"$62,201",$59K - $64K
281,Data Analyst - Contractor,Icsa,"$120,085",$115K - $124K
282,Data Analyst - Hourly,DEA,$19,$18 - $20
283,Data Analyst - Hourly,Dressometry,$11,$10 - $11
284,Data Analyst,RELX,"$43,633",$42K - $46K
285,Data Analyst - Hourly Intern,Oklahoma State University,$17,$16 - $17
286,Data Analyst,Strayer University,"$85,000",$81K - $88K
287,Data Analyst - Contractor,VALDEZ INTERNATIONAL,"$78,062",$74K - $82K
288,Data Analyst,CHI Franciscan,"$64,533",$62K - $67K
289,Data Analyst - Hourly Intern,Uptown Treehouse,$16,$15 - $16
290,Data Analyst - Hourly Intern,NEXT Trucking,$15,$15 - $16
291,Data Analyst,Measured Marketing,"$50,033",$48K - $52K
292,Data Analyst - Intern,Fiserv,"$59,803",$57K - $62K
293,Data Analyst,Ilumen,"$50,017",$48K - $52K
294,Data Analyst - Contractor,Atos-Syntel,"$87,806",$84K - $91K
295,Data Analyst - Hourly Contractor,Lincoln Financial Distributors,$22,$21 - $23
296,Data Analyst,Guidehouse,"$65,043",$63K - $68K
297,Data Analyst,A Growing Up,"$50,346",$49K - $53K
298,Data Analyst,"City of Cleveland, Ohio","$73,460",$71K - $76K
299,Data Analyst - Hourly Contractor,"Atterro, Inc.",$26,$25 - $27
300,Data Analyst,Harbor Health Systems,"$55,008",$53K - $58K
301,Data Analyst,Central Washington University,"$75,193",$72K - $78K
302,Data Analyst,"CANOPY ONE SOLUTIONS, INC.","$65,789",$63K - $69K
303,Data Analyst,Eidex,"$42,839",$41K - $44K
304,Data Analyst,Doxo,"$40,754",$39K - $42K
305,Data Analyst,Pace University,"$62,412",$60K - $65K
306,Data Analyst - Contractor,Graebel Van Lines,"$81,696",$79K - $85K
307,Data Analyst - Hourly,Clark County School District,$27,$26 - $28
308,Data Analyst,Arbor Healthcare,"$52,010",$49K - $54K
309,Data Analyst - Monthly,Aditware,"$3,057",$3K - $3K
310,Data Analyst,Steven Winter Associates,"$64,385",$62K - $67K
311,Data Analyst,Pact (Washington DC),"$87,547",$84K - $92K
312,Data Analyst,National Association of Realtors,"$76,174",$73K - $80K
313,Data Analyst,PSI Group,"$106,751",$103K - $111K
314,Data Analyst - Hourly Intern,Progressive Insurance,$19,$18 - $20
315,Data Analyst - Hourly Intern,84.51°,$27,$25 - $28
316,Data Analyst - Hourly Contractor,NCI,$43,$41 - $45
317,Data Analyst - Monthly Contractor,Hr Advantages,"$3,258",$3K - $3K
318,Data Analyst - Hourly Intern,Bio-Rad Laboratories,$21,$20 - $22
319,Data Analyst,Greensky,"$72,793",$70K - $75K
320,Data Analyst,Rock-Pond Solutions,"$40,933",$39K - $42K
321,Data Analyst - Hourly,San Diego Gas & Electric,$27,$26 - $28
322,Data Analyst,GAIN Capital,"$69,931",$67K - $73K
323,Data Analyst,Astre Consulting Services,"$64,530",$62K - $67K
324,Data Analyst,Metia,"$76,409",$73K - $80K
325,Data Analyst - Hourly Intern,Ogletree Deakins Nash Smoak & Stewart P.C.,$18,$18 - $19
326,Data Analyst,CU Direct,"$74,662",$72K - $77K
327,Data Analyst,Human Resource Training,"$86,975",$84K - $91K
328,Data Analyst,Pinnacle Telecom,"$38,691",$37K - $40K
329,Data Analyst - Hourly,Excell,$27,$26 - $28
330,Data Analyst - Hourly Intern,Stanley Black & Decker,$20,$19 - $21
331,Data Analyst,Lumeris,"$67,979",$66K - $71K
332,Data Analyst - Hourly Intern,USPS.com,$17,$16 - $18
333,Data Analyst,Tribune Publishing,"$37,655",$36K - $39K
334,Data Analyst,Ansira,"$66,226",$64K - $69K
335,Data Analyst,AArete,"$67,044",$65K - $70K
336,Data Analyst,Logyt sudamerica,"$126,973",$121K - $132K
337,Data Analyst - Monthly,Colorado DORA,"$5,753",$6K - $6K
338,Data Analyst,FedBid,"$64,018",$61K - $67K
339,Data Analyst,eMarketer,"$59,252",$56K - $62K
340,Data Analyst - Hourly,Laserfiche,$27,$26 - $28
341,Data Analyst,RoofClaim.com,"$64,577",$62K - $67K
342,Data Analyst,Integrity Management Services,"$74,995",$72K - $77K
343,Data Analyst,Sphere Solutions,"$51,105",$49K - $53K
344,Data Analyst - Hourly,University of Texas at Austin,$17,$17 - $18
345,Data Analyst,The Inbox Experts,"$37,309",$36K - $39K
346,Data Analyst - Contractor,AstraZeneca,"$54,256",$52K - $57K
347,Data Analyst,HCPHUB,"$46,117",$44K - $48K
348,Data Analyst - Monthly,Caterpillar,"$5,675",$5K - $6K
349,Data Analyst,H. D. Smith,"$42,484",$41K - $44K
350,Data Analyst,North American Bancard,"$74,956",$73K - $78K
351,Data Analyst,SDI Presence,"$41,935",$40K - $44K
352,Data Analyst,iPacesetters,"$43,034",$42K - $45K
353,Data Analyst,St. Jude Medical,"$75,470",$72K - $79K
354,Data Analyst - Hourly,Advanced Sterilization Products,$27,$27 - $29
355,Data Analyst - Hourly,Vistage Worldwide,$17,$16 - $17
356,Data Analyst - Hourly Intern,New York City Housing Authority,$15,$14 - $16
357,Data Analyst - Hourly Intern,Advantix Solutions Group,$18,$17 - $19
358,Data Analyst,Tetra Tech,"$64,905",$62K - $68K
359,Data Analyst - Hourly Intern,Public Company Accounting Oversight Board,$25,$24 - $26
360,Data Analyst - Hourly Contractor,NGL Energy Partners,$18,$18 - $19
361,Data Analyst,Qualchoice,"$58,153",$55K - $60K
362,Data Analyst,University of Central Florida,"$51,225",$49K - $54K
363,Data Analyst,Zodiac Aerospace,"$53,789",$51K - $56K
364,Data Analyst,Leafly,"$47,869",$46K - $50K
365,Data Analyst,Causes,"$65,971",$63K - $69K
366,Data Analyst,SRS Labs,"$70,512",$68K - $74K
367,Data Analyst - Hourly,Swisher International,$20,$19 - $21
368,Data Analyst,URS Corporation,"$32,316",$31K - $34K
369,Data Analyst,Peabody,"$73,999",$71K - $77K
370,Data Analyst - Hourly Intern,Capgemini,$15,$15 - $16
371,Data Analyst,Eze Castle Integration,"$71,676",$69K - $75K
372,Data Analyst,Washington State Health Care Authority,"$83,530",$80K - $87K
373,Data Analyst,JPS Health Network,"$72,000",$69K - $74K
374,Data Analyst,Wicresoft,"$51,996",$50K - $54K
375,Data Analyst,Arena Technical Resources,"$86,063",$83K - $90K
376,Data Analyst,RevGuard,"$43,741",$42K - $46K
377,Data Analyst,Sling Media,"$105,424",$100K - $109K
378,Data Analyst - Hourly,Ready4,$16,$15 - $17
379,Data Analyst - Hourly Intern,Ambry Genetics,$25,$24 - $26
380,Data Analyst - Hourly,PwC,$30,$29 - $32
381,Data Analyst - Hourly Intern,U.S. Concrete,$19,$18 - $20
382,Data Analyst - Hourly Intern,NeighborWorks America,$15,$15 - $16
383,Data Analyst,Saint Joseph Health System,"$83,268",$80K - $87K
384,Data Analyst - Hourly,Samsung Electronics America,$14,$13 - $14
385,Data Analyst,Maryland Primary Care Physicians,"$58,588",$56K - $61K
386,Data Analyst - Hourly,Zacks Investment Management,$21,$20 - $22
387,Data Analyst - Hourly,AICA Ortho & Spine,$15,$14 - $15
388,Data Analyst,Local Government Federal Credit Union,"$60,140",$58K - $63K
389,Data Analyst,TEAM Software,"$77,051",$73K - $80K
390,Data Analyst - Contractor,Motiv,"$32,088",$31K - $33K
391,Data Analyst - Hourly,GeoDigital,$19,$18 - $19
392,Data Analyst,Paysafe Group,"$54,977",$53K - $57K
393,Data Analyst,Best Buy,"$63,805",$62K - $67K
394,Data Analyst,MWH Global,"$68,205",$66K - $71K
395,Data Analyst,University Hospital (Cincinnati),"$51,638",$49K - $53K
396,Data Analyst,Goji,"$76,582",$74K - $79K
397,Data Analyst,Allen Institute,"$94,735",$91K - $98K
398,Data Analyst - Hourly Intern,PRA Group,$19,$19 - $20
399,Data Analyst,New York State Psychiatric Institute,"$49,948",$48K - $52K
400,Data Analyst,Smile Direct Club,"$45,820",$44K - $47K
401,Data Analyst,New York City Housing Authority,"$48,555",$46K - $50K
402,Data Analyst - Hourly Intern,Chamberlain Group,$28,$27 - $29
403,Data Analyst - Hourly,LSG Sky Chefs,$16,$15 - $16
404,Data Analyst,Southcentral Foundation,"$58,694",$56K - $62K
405,Data Analyst,Altman Vilandrie & Company,"$85,278",$81K - $88K
406,Data Analyst - Hourly,Indiana University Health,$20,$19 - $21
407,Data Analyst,Acme Manufacturing Co. Inc.,"$45,849",$44K - $48K
408,Data Analyst - Monthly Intern,Liberty Mutual Insurance,"$5,317",$5K - $6K
409,Data Analyst,Qualis Health,"$72,483",$70K - $75K
410,Data Analyst,ALSTOM,"$66,760",$65K - $70K
411,Data Analyst - Contractor,Wyndham Destinations,"$58,000",$55K - $60K
412,Data Analyst - Contractor,Experis,"$55,555",$53K - $58K
413,Data Analyst - Hourly,KeyPoint Government Solutions,$22,$22 - $24
414,Data Analyst,Excelacom,"$70,166",$68K - $73K
415,Data Analyst - Hourly Intern,The Ticket Group,$14,$13 - $14
416,Data Analyst - Intern,MassChallenge,"$67,613",$65K - $71K
417,Data Analyst - Hourly Intern,Megaputer Intelligence,$13,$13 - $14
418,Data Analyst,Infinera,"$114,173",$110K - $118K
419,Data Analyst,Logic20/20,"$70,053",$68K - $73K
420,Data Analyst - Hourly Intern,NYU (New York University),$16,$16 - $17
